Name,Trigger,AttackName,Impact,Puncture,Slash,Cold,Electricity,Heat,Toxin,Blast,Corrosive,Gas,Magnetic,Radiation,Viral,Void,BaseDamage,BaseDps,TotalDamage,CritChance,CritMultiplier,AvgShotDmg,BurstDps,SustainedDps,LifetimeDmg,StatusChance,ForcedProcs,AvgProcCount,AvgProcPerSec,Multishot,FireRate,ChargeTime,Disposition,Mastery,Magazine,AmmoPickup,AmmoMax,Reload,ShotType,ShotSpeed,PunchThrough,Accuracy,Introduced,IntroducedDate,Slot,Class,AmmoType,Range,InternalName,Family,FalloffStart,FalloffEnd,FalloffReduction
Phantasma,Held,Cluster Bombs Explosion,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,36,18,0.03,1.5,18.27,36.54,33.495,5225.22,0.37,nil,1.37,2.74,1,2,0,1.05,9,11,15,275,0.5,AoE,inf,0,100,Update 23.5,2018-08-24,Primary,Shotgun,Primary,2,/Lotus/Weapons/Tenno/LongGuns/RevenantShotgun/RevenantShotgun,Phantasma,0,inf,1
Stradavar,Auto / Semi,Full Auto Mode,9.8,9.8,8.4,0,0,0,0,0,0,0,0,0,0,0,28,280,28,0.24,2,34.72,347.2,265.50588235294,21005.6,0.12,nil,0.12,1.2,1,10,0,1.1,8,65,80,540,2,Hit-Scan,inf,0,14.3,Update 18.11,2016-05-11,Primary,Rifle,Primary,300,/Lotus/Weapons/Tenno/LongGuns/TennoTommyGun/TennoTommyGunRifle,Stradavar,0,inf,1
Stradavar,Semi-Auto,Semi-Auto Mode,7.5,30,12.5,0,0,0,0,0,0,0,0,0,0,0,50,250,50,0.28,2,64,320,277.33333333333,38720,0.16,nil,0.16,0.8,1,5,0,1.1,8,65,80,540,2,Hit-Scan,inf,0,28.6,Update 18.11,2016-05-11,Primary,Rifle,Primary,300,/Lotus/Weapons/Tenno/LongGuns/TennoTommyGun/TennoTommyGunRifle,Stradavar,0,inf,1
Ignis,Held,Normal Attack,0,0,0,0,0,33,0,0,0,0,0,0,0,0,33,264,33,0.11,2,36.63,293.04,278.20253164557,21978,0.27,nil,0.27,2.16,1,8,0,0.6,5,150,40,150,2,Discharge,inf,0,100,Update 8.0,2013-05-23,Primary,Rifle,Primary,20,/Lotus/Weapons/ClanTech/Chemical/FlameThrower,Ignis,0,inf,1
Zhuge,Auto,Normal Attack,5,75,20,0,0,0,0,0,0,0,0,0,0,0,100,417,100,0.2,2,120,500.4,328.94001643385,67200,0.35,nil,0.35,1.4595,1,4.17,0,1.2,10,20,80,540,2.5,Projectile,90,0,40,Update 18.6,2016-03-16,Primary,Crossbow,Primary,0,/Lotus/Weapons/Tenno/LongGuns/RepeatingCrossbow/RepeatingCrossbow,Zhuge,0,inf,1
Kuva Bramma,Charge,Charged Shot,187,0,0,0,0,0,0,0,0,0,0,0,0,0,187,311.66666666667,299.2,0.35,2.1,414.392,690.65333333333,414.392,2486.352,0.21,nil,0.21,0.21,1,0.667,0.4,0.6,15,1,1,5,0.6,Projectile,50,0,16.7,Update 27.1,2020-02-04,Primary,Bow,Primary,0,/Lotus/Weapons/Grineer/Bows/GrnBow/GrnBowWeapon,Kuva Bramma,0,inf,1
Kuva Bramma,Charge,Radial Attack,0,0,0,0,0,0,0,839,0,0,0,0,0,0,839,1398.3333333333,1342.4,0.35,2.1,1859.224,3098.7066666667,1859.224,11155.344,0.21,nil,0.21,0.21,1,0.667,0.4,0.6,15,1,1,5,0.6,AoE,inf,0,16.7,Update 27.1,2020-02-04,Primary,Bow,Primary,8.3,/Lotus/Weapons/Grineer/Bows/GrnBow/GrnBowWeapon,Kuva Bramma,0,8.3,0.9
Kuva Bramma,Charge,Cluster Bomb Contact,49,0,0,0,0,0,0,0,0,0,0,0,0,0,49,245,235.2,0.35,2.1,325.752,542.92,325.752,1954.512,0.21,nil,0.63,0.63,3,1,0.4,0.6,15,1,1,5,0.6,Projectile,30,0,16.7,Update 27.1,2020-02-04,Primary,Bow,Primary,0,/Lotus/Weapons/Grineer/Bows/GrnBow/GrnBowWeapon,Kuva Bramma,0,inf,1
Kuva Bramma,Charge,Cluster Bomb Explosion,0,0,0,0,0,0,0,57,0,0,0,0,0,0,57,285,273.6,0.35,2.1,378.936,631.56,378.936,2273.616,0.21,nil,0.63,0.63,3,1,0.4,0.6,15,1,1,5,0.6,AoE,inf,0,16.7,Update 27.1,2020-02-04,Primary,Bow,Primary,0,/Lotus/Weapons/Grineer/Bows/GrnBow/GrnBowWeapon,Kuva Bramma,0,3.5,0.5
Zarr,Semi-Auto,Cannon Mode Projectile,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,41.75,25,0.17,2.5,31.375,52.39625,23.261376248613,1976.625,0.29,nil,0.29,0.4843,1,1.67,0,1.15,7,3,9,60,2.25,Projectile,40,0,100,Update 19.0,2016-11-11,Primary,Launcher,Primary,0,/Lotus/Weapons/Grineer/LongGuns/GrnCannon/GrnCannonWeapon,Zarr,0,inf,1
Zarr,Semi-Auto,Cannon Mode Explosion,0,0,0,0,0,0,0,175,0,0,0,0,0,0,175,292.25,175,0.17,2.5,219.625,366.77375,162.82963374029,13836.375,0.29,nil,0.29,0.4843,1,1.67,0,1.15,7,3,9,60,2.25,AoE,inf,0,0,Update 19.0,2016-11-11,Primary,Launcher,Primary,4,/Lotus/Weapons/Grineer/LongGuns/GrnCannon/GrnCannonWeapon,Zarr,0,4,0.5
Zarr,Semi-Auto,Cannon Mode Cluster Bombs,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,501,300,0.17,2.5,376.5,628.755,279.13651498335,23719.5,0.048,nil,0.288,0.48096,6,1.67,0,1.15,7,3,9,60,2.25,Projectile,8,0,0,Update 19.0,2016-11-11,Primary,Launcher,Primary,0,/Lotus/Weapons/Grineer/LongGuns/GrnCannon/GrnCannonWeapon,Zarr,0,inf,1
Zarr,Semi-Auto,Barrage Mode,24,40,16,0,0,0,0,0,0,0,0,0,0,0,80,2400,800,0.17,2.5,1004,3012,926.76923076923,63252,0.087,nil,0.87,2.61,10,3,0,1.15,7,3,9,60,2.25,Projectile,120,1.6,1.4,Update 19.0,2016-11-11,Primary,Launcher,Primary,10,/Lotus/Weapons/Grineer/LongGuns/GrnCannon/GrnCannonWeapon,Zarr,0,inf,1
Battacor,Auto Burst,Normal Attack,0,24,0,0,0,0,0,0,0,0,42,0,0,0,66,235.62,66,0.32,2.4,191.136,341.17776,304.89522788204,149086.08,0.18,nil,0.18,0.6426,1,3.57,0,1.1,10,60,80,720,2,Projectile,120,0,25,Update 24.0,2018-11-08,Primary,Rifle,Primary,0,/Lotus/Weapons/Corpus/LongGuns/CrpSentExperimentRifle/CrpSentExperimentRifle,Battacor,0,inf,1
Battacor,Auto Charge,Secondary Fire,0,0,0,0,0,0,0,0,0,0,0,208,0,0,208,1040,208,0.34,3,349.44,873.6,806.4,272563.2,0.08,nil,0.08,0.13333333333333,1,5,0.4,1.1,10,60,80,720,2,Hit-Scan,inf,2,100,Update 24.0,2018-11-08,Primary,Rifle,Primary,300,/Lotus/Weapons/Corpus/LongGuns/CrpSentExperimentRifle/CrpSentExperimentRifle,Battacor,0,inf,1
Battacor,Auto Burst,Beam AoE,0,0,0,0,0,0,0,0,0,0,0,208,0,0,208,1040,208,0.2,2,249.6,1248,1069.7142857143,194688,0.5,nil,0.5,2.5,1,5,0,1.1,10,60,80,720,2,AoE,inf,0,0,Update 24.0,2018-11-08,Primary,Rifle,Primary,3.4,/Lotus/Weapons/Corpus/LongGuns/CrpSentExperimentRifle/CrpSentExperimentRifle,Battacor,0,3.4,0.4
Boltor,Auto,Normal Attack,2.5,20,2.5,0,0,0,0,0,0,0,0,0,0,0,25,218.75,25,0.1,1.8,27,236.25,171.29909365559,16200,0.14,nil,0.14,1.225,1,8.75,0,1.3,2,60,80,540,2.6,Projectile,85,0,25,Update 6.0,2013-01-29,Primary,Rifle,Primary,0,/Lotus/Weapons/Tenno/Rifle/BoltoRifle,Boltor,0,inf,1
Phenmor,Auto / Semi,Normal Attack,0,42,98,0,0,0,0,0,0,0,0,0,0,0,140,420,140,0.2,2,168,504,420,95760,0.2,nil,0.2,0.6,1,3,0,0.6,14,30,80,540,2,Projectile,120,0,28.6,Update 31.5,2022-04-27,Primary,Rifle,Primary,0,/Lotus/Weapons/Tenno/Zariman/LongGuns/SemiAutoRifle/ZarimanSemiAutoRifle,Phenmor,0,inf,1
Phenmor,Auto,Incarnon Form,0,0,80,0,0,0,0,0,0,0,0,60,0,0,140,1866.2,140,0.2,2,168,2239.44,2102.0832834859,137088,0.2,nil,0.2,2.666,1,13.33,0,0.6,14,408,80,408,2,Projectile,80,3,14.3,Update 31.5,2022-04-27,Primary,Rifle,Primary,0,/Lotus/Weapons/Tenno/Zariman/LongGuns/SemiAutoRifle/ZarimanSemiAutoRifle,Phenmor,0,inf,1
Amprex,Held,Normal Attack,0,0,0,0,22,0,0,0,0,0,0,0,0,0,22,264,22,0.32,2.2,30.448,365.376,316.06920415225,48716.8,0.22,nil,0.22,2.64,1,12,0,0.85,10,100,60,700,2.6,Discharge,inf,0,12.5,Update 13.1,2014-04-23,Primary,Rifle,Primary,18,/Lotus/Weapons/Corpus/LongGuns/ChainLightningGun/ChainLightningRifle,Amprex,0,inf,1
Shedu,Auto,Normal Attack,0,0,0,0,0,71,0,0,0,0,0,0,0,0,71,177.5,71,0.25,2.1,90.525,226.3125,125.4801980198,633.675,0.23,nil,0.23,0.575,1,2.5,0,0.75,13,7,0,0,1.25,Projectile,200,0,28.6,Update 27.0,2019-12-13,Primary,Arm Cannon,None,0,/Lotus/Weapons/Sentients/Shedu/SheduHeavyWeapon,Shedu,0,inf,1
Shedu,Auto,Radial Attack,0,0,0,0,87,0,0,0,0,0,0,0,0,0,87,217.5,87,0.25,2.1,110.925,277.3125,153.75742574257,776.475,0.23,nil,0.23,0.575,1,2.5,0,0.75,13,7,0,0,1.25,AoE,inf,0,28.6,Update 27.0,2019-12-13,Primary,Arm Cannon,None,6.6,/Lotus/Weapons/Sentients/Shedu/SheduHeavyWeapon,Shedu,0,6.6,0.6
Tigris,Duplex,Normal Attack,21,21,168,0,0,0,0,0,0,0,0,0,0,0,210,2100,1050,0.1,2,1155,2310,825,140910,0.168,nil,0.84,1.68,5,2,0,1.15,7,2,15,120,1.8,Hit-Scan,inf,0,9.1,Update 11.0,2013-11-20,Primary,Shotgun,Primary,300,/Lotus/Weapons/Tenno/LongGuns/DoubleBarrelShotgun/TennoDoubleBarrelShotgun,Tigris,10,20,0.5238
Artemis Bow,Charge,Base Uncharged Shot,33.6,192,14.4,0,0,0,0,0,0,0,0,0,0,0,240,1866.6666666667,1680,0.25,2,2100,2333.3333333333,1105.2631578947,553350,0.2,nil,1.4,1.5555555555556,7,1,0,0,0,1,0,262.5,0.9,Projectile,100,1,100,Update 23.0,2018-06-15,Primary,Exalted Weapon,Energy,0,/Lotus/Powersuits/Ranger/ExaltedBow,Artemis Bow,0,inf,1
Artemis Bow,Charge,Base Charged Shot,33.6,192,14.4,0,0,0,0,0,0,0,0,0,0,0,240,1866.6666666667,1680,0.25,2,2100,2100,1105.2631578947,553350,0.2,nil,1.4,0.73684210526316,7,1,1,0,0,1,0,262.5,0.9,Projectile,100,1,100,Update 23.0,2018-06-15,Primary,Exalted Weapon,Energy,0,/Lotus/Powersuits/Ranger/ExaltedBow,Artemis Bow,0,inf,1
Artemis Bow,Charge,Concentrated Arrow Shot,33.6,192,14.4,0,0,0,0,0,0,0,0,0,0,0,240,266.66666666667,240,0.25,2,300,333.33333333333,157.89473684211,79050,0.2,nil,1.2,1.3333333333333,1,1,0,0,0,1,0,262.5,0.9,Projectile,150,0,100,Update 23.0,2018-06-15,Primary,Exalted Weapon,Energy,0,/Lotus/Powersuits/Ranger/ExaltedBow,Artemis Bow,0,inf,1
Artemis Bow,Charge,Concentrated Arrow Headshot Explosion,0,0,0,0,0,0,0,500,0,0,0,0,0,0,500,555.55555555556,500,0.75,2,875,875,460.52631578947,230562.5,0,nil,0,0,1,1,1,0,0,1,0,262.5,0.9,AoE,inf,0,100,Update 23.0,2018-06-15,Primary,Exalted Weapon,Energy,7,/Lotus/Powersuits/Ranger/ExaltedBow,Artemis Bow,0,7,0
Afentis,Semi,Semi,20,60,20,0,0,0,0,0,0,0,0,0,0,0,100,83.3,100,0.26,2.2,131.2,109.2896,79.492017310979,2099.2,0.24,nil,1.24,1.03292,1,0.833,0,0.5,8,4,4,12,1.8,Projectile,90,0,100,Update 32,2022-09-07,Primary,Speargun,Primary,0,/Lotus/Weapons/Tenno/LongGuns/TnHopliteSpear/TnHopliteSpearGunWeapon,Afentis,0,inf,1
Afentis,Semi,Radial Attack,0,0,0,0,0,0,0,800,0,0,0,0,0,0,800,666.4,800,0.26,2.2,1049.6,874.3168,635.93613848784,16793.6,0.24,nil,1.24,1.03292,1,0.833,0,0.5,8,4,4,12,1.8,AoE,inf,0,100,Update 32,2022-09-07,Primary,Speargun,Primary,3,/Lotus/Weapons/Tenno/LongGuns/TnHopliteSpear/TnHopliteSpearGunWeapon,Afentis,0,3,0.4
Afentis,Semi,Spear Throw,240,120,40,0,0,0,0,0,0,0,0,0,0,0,400,400,400,0.3,3,640,640,441.37931034483,10240,0.2,nil,1.2,1.2,1,1,0,0.5,8,4,4,12,1.8,Projectile,90,0,100,Update 32,2022-09-07,Primary,Speargun,Primary,0,/Lotus/Weapons/Tenno/LongGuns/TnHopliteSpear/TnHopliteSpearGunWeapon,Afentis,0,inf,1
Karak,Auto,Normal Attack,13.05,8.7,7.25,0,0,0,0,0,0,0,0,0,0,0,29,338.43,29,0.09,1.5,30.305,353.65935,198.9085208099,17273.85,0.15,nil,0.15,1.7505,1,11.67,0,1.35,1,30,80,540,2,Hit-Scan,inf,0,28.6,Update 11.5,2013-12-19,Primary,Rifle,Primary,300,/Lotus/Weapons/Grineer/LongGuns/GrineerM16Homage/GrineerM16Rifle,Karak,0,inf,1
Simulor,Active,Orb Launch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,2,0,0,0,0,0.3,nil,0.3,0.9,1,3,0,1.25,5,8,15,72,3,Projectile,80,0,28.6,Update 16.10,2015-06-25,Primary,Rifle,Primary,12,/Lotus/Weapons/Cephalon/Primary/CephPrimary/CephPrimary,Simulor,0,inf,1
Simulor,Active,Orb Merging Damage,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,300,100,0.12,2,112,336,158.11764705882,8960,0.3,nil,0.3,0.9,1,3,0,1.25,5,8,15,72,3,nil,inf,0,28.6,Update 16.10,2015-06-25,Primary,Rifle,Primary,12,/Lotus/Weapons/Cephalon/Primary/CephPrimary/CephPrimary,Simulor,0,inf,1
Simulor,Active,Orb Explosion,0,0,0,0,0,0,0,0,0,0,200,0,0,0,200,600,200,0.12,2,224,672,316.23529411765,17920,0.3,nil,1.3,3.9,1,3,0,1.25,5,8,15,72,3,AoE,inf,0,28.6,Update 16.10,2015-06-25,Primary,Rifle,Primary,5,/Lotus/Weapons/Cephalon/Primary/CephPrimary/CephPrimary,Simulor,0,5,0.6
Basmu,Auto,Auto,0,0,0,0,39,0,0,0,0,0,0,0,0,0,39,468,39,0.15,2,44.85,538.2,150.696,941.85,0.29,nil,0.29,3.48,1,12,0,1.2,11,21,0,0,2.5,Projectile,120,0,20,Update 27.3,2020-03-24,Primary,Rifle,None,0,/Lotus/Weapons/Sentients/SentRifleNewWar/SentRifleNewWarGun,Basmu,0,inf,1
Basmu,Auto,Radial Attack,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,228,19,0.15,2,21.85,262.2,73.416,458.85,0.29,nil,0.29,3.48,1,12,0,1.2,11,21,0,0,2.5,AoE,inf,0,20,Update 27.3,2020-03-24,Primary,Rifle,None,1.7,/Lotus/Weapons/Sentients/SentRifleNewWar/SentRifleNewWarGun,Basmu,0,1.7,0.2
Basmu,Held,Held,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,288,24,0.02,4.8,25.824,309.888,86.76864,542.304,0.3,nil,0.6,7.2,2,12,0,1.2,11,21,0,0,2.5,Discharge,inf,0,3,Update 27.3,2020-03-24,Primary,Rifle,None,0,/Lotus/Weapons/Sentients/SentRifleNewWar/SentRifleNewWarGun,Basmu,0,inf,1
Latron,Semi-Auto,Normal Attack,8.25,38.5,8.25,0,0,0,0,0,0,0,0,0,0,0,55,229.35,55,0.12,2,61.6,256.872,154.07389635317,34188,0.12,nil,0.12,0.5004,1,4.17,0,1.4,0,15,80,540,2.4,Hit-Scan,inf,0,28.6,Vanilla,2012-10-25,Primary,Rifle,Primary,300,/Lotus/Weapons/Tenno/Rifle/SemiAutoRifle,Latron,0,inf,1
Hek,Semi-Auto,Normal Attack,11.25,48.75,15,0,0,0,0,0,0,0,0,0,0,0,75,1139.25,525,0.1,2,577.5,1253.175,601.04316546763,71610,0.107,nil,0.749,1.62533,7,2.17,0,1.2,4,4,15,120,2,Hit-Scan,inf,0,9.1,Update 5.2,2013-01-04,Primary,Shotgun,Primary,300,/Lotus/Weapons/Tenno/Shotgun/QuadShotgun,Hek,10,20,0.8
Tenora Prime,Auto-Spool,Fully Spooled,8.4,11.2,8.4,0,0,0,0,0,0,0,0,0,0,0,28,354.76,28,0.3,2.2,38.08,482.4736,416.50898888529,45696,0.24,nil,0.24,3.0408,1,12.67,0,1,14,200,80,1000,2.5,Hit-Scan,inf,0,12.5,Update 29.9,2021-02-23,Primary,Rifle,Primary,300,/Lotus/Weapons/Tenno/LongGuns/PrimeTenora/TenoraPrimeWeapon,Tenora,0,inf,1
Tenora Prime,Charge,Charged Attack,56,168,56,0,0,0,0,0,0,0,0,0,0,0,280,560,280,0.4,3,504,630,544.86486486486,60480,0.2,nil,0.2,0.15384615384615,1,2,0.8,1,14,200,80,1000,2.5,Hit-Scan,inf,1,12.5,Update 29.9,2021-02-23,Primary,Rifle,Primary,300,/Lotus/Weapons/Tenno/LongGuns/PrimeTenora/TenoraPrimeWeapon,Tenora,0,inf,1
Kuva Kohm,Auto-Spool,Single Pellet,4,4,12,0,0,0,0,0,0,0,0,0,0,0,20,16.68,32,0.19,2.3,39.904,33.279936,33.016436402301,41699.68,0.9,nil,0.9,0.7506,1,0.834,0,0.9,13,209,40,836,2,Hit-Scan,inf,1.5,8,Update 26.0,2019-10-31,Primary,Shotgun,Primary,300,/Lotus/Weapons/Grineer/KuvaLich/LongGuns/Kohm/KuvaKohm,Kohm,13,26,0.9375
Kuva Kohm,Auto-Spool,Fully Spooled,4,4,12,0,0,0,0,0,0,0,0,0,0,0,20,1000.8,384,0.19,2.3,478.848,1996.79616,1720.8054411667,124500.48,0.075,nil,0.9,3.753,12,4.17,0,0.9,13,209,40,836,2,Hit-Scan,inf,0,8,Update 26.0,2019-10-31,Primary,Shotgun,Primary,300,/Lotus/Weapons/Grineer/KuvaLich/LongGuns/Kohm/KuvaKohm,Kohm,13,26,0.9375
Quartakk,Burst,Burst-Fire,18.13,14.21,16.66,0,0,0,0,0,0,0,0,0,0,0,49,310.17,49,0.19,2.3,244.412,386.78199,338.3390833828,225836.688,0.27,nil,0.27,1.7091,1,6.33,0,1.25,10,84,80,840,1.9,Hit-Scan,inf,0.5,90.9,Update 22.0,2017-10-12,Primary,Rifle,Primary,300,/Lotus/Weapons/Grineer/LongGuns/GrnFourBarrelRifle/GrnFourBarrelRifleWeapon,Quartakk,0,inf,1
Flux Rifle,Held,Normal Attack,0,4.84,17.16,0,0,0,0,0,0,0,0,0,0,0,22,264,22,0.1,2,24.2,290.4,208.92086330935,2420,0.24,nil,0.24,2.88,1,12,0,1.55,6,50,0,0,2.25,Discharge,inf,0.5,100,Update 8.0,2013-05-23,Primary,Rifle,None,30,/Lotus/Weapons/ClanTech/Energy/CrpLaserRifle,Flux Rifle,0,inf,1
Paris Prime,Semi-Auto,Uncharged Shot,9,153,18,0,0,0,0,0,0,0,0,0,0,0,180,257.14285714286,180,0.45,2,261,372.85714285714,153.52941176471,19053,0.2,nil,0.2,0.28571428571429,1,1,0,1.35,8,1,15,72,0.7,Projectile,70,0,16.7,Update 9.0,2013-07-13,Primary,Bow,Primary,0,/Lotus/Weapons/Tenno/Bows/PrimeHuntingBow,Paris,0,inf,1
Paris Prime,Charge,Charged Shot,9,288,63,0,0,0,0,0,0,0,0,0,0,0,360,514.28571428571,360,0.45,2,522,745.71428571429,435,38106,0.2,nil,0.2,0.16666666666667,1,1,0.5,1.35,8,1,15,72,0.7,Projectile,95,3,16.7,Update 9.0,2013-07-13,Primary,Bow,Primary,0,/Lotus/Weapons/Tenno/Bows/PrimeHuntingBow,Paris,0,inf,1
Stradavar Prime,Auto / Semi,Full Auto Mode,10.5,10.5,9,0,0,0,0,0,0,0,0,0,0,0,30,300,30,0.24,2.6,41.52,415.2,339.70909090909,26157.6,0.12,nil,0.12,1.2,1,10,0,1,12,90,80,540,2,Hit-Scan,inf,0,25,Hotfix 24.5.8,2019-04-02,Primary,Rifle,Primary,300,/Lotus/Weapons/Tenno/LongGuns/PrimeStradavar/PrimeStradavarGun,Stradavar,0,inf,1
Stradavar Prime,Semi-Auto,Semi-Auto Mode,8,24,48,0,0,0,0,0,0,0,0,0,0,0,80,266.4,80,0.3,2.8,123.2,410.256,381.98882681564,77616,0.22,nil,0.22,0.7326,1,3.33,0,1,12,90,80,540,2,Hit-Scan,inf,1,66.7,Hotfix 24.5.8,2019-04-02,Primary,Rifle,Primary,300,/Lotus/Weapons/Tenno/LongGuns/PrimeStradavar/PrimeStradavarGun,Stradavar,0,inf,1
Tenora,Auto-Spool,Fully Spooled,7.2,9.6,7.2,0,0,0,0,0,0,0,0,0,0,0,24,280.08,24,0.28,2,30.72,358.5024,300.1275847635,32256,0.16,nil,0.16,1.8672,1,11.67,0,1.1,10,150,80,900,2.5,Hit-Scan,inf,0,12.5,Update 20.0,2017-03-24,Primary,Rifle,Primary,300,/Lotus/Weapons/Tenno/LongGuns/TnBardRifle/TnBardRifle,Tenora,0,inf,1
Tenora,Charge,Charged Attack,48,144,48,0,0,0,0,0,0,0,0,0,0,0,240,2400,240,0.34,3,403.2,504,417.10344827586,42336,0.11,nil,0.11,0.12222222222222,1,10,0.8,1.1,10,150,80,900,2.5,Hit-Scan,inf,1,12.5,Update 20.0,2017-03-24,Primary,Rifle,Primary,300,/Lotus/Weapons/Tenno/LongGuns/TnBardRifle/TnBardRifle,Tenora,0,inf,1
Kuva Ogris,Semi-Auto,Rocket Impact,18.9,8.1,0,0,0,0,0,0,0,0,0,0,0,0,27,40.5,43.2,0.09,2,47.088,70.632,34.454634146341,470.88,0.47,nil,1.47,2.205,1,1.5,0,0.7,15,3,1,7,2.1,Projectile,40,0,100,Update 26.0,2019-10-31,Primary,Launcher,Primary,0,/Lotus/Weapons/Grineer/KuvaLich/LongGuns/Ogris/KuvaOgris,Ogris,0,inf,1
